prefix	base
rdf	http://www.w3.org/1999/02/22-rdf-syntax-ns#
rdfs	http://www.w3.org/2000/01/rdf-schema#
xsd	http://www.w3.org/2001/XMLSchema#
owl	http://www.w3.org/2002/07/owl#
dct	http://purl.org/dc/terms/
dce	http://purl.org/dc/elements/1.1/
skos	http://www.w3.org/2004/02/skos/core#
oio	http://www.geneontology.org/formats/oboInOwl#
ex	http://example.com
ldtab	https://ldtab.org/2021/10/ldtab#
BFO	http://purl.obolibrary.org/obo/BFO_
DOID	http://purl.obolibrary.org/obo/DOID_
IAO	http://purl.obolibrary.org/obo/IAO_
OBI	http://purl.obolibrary.org/obo/OBI_
MPATH	http://purl.obolibrary.org/obo/MPATH_
NCIT	http://purl.obolibrary.org/obo/NCIT_
RO	http://purl.obolibrary.org/obo/RO_
SYMP	http://purl.obolibrary.org/obo/SYMP_
obo	http://purl.obolibrary.org/obo/
